0    [main] INFO  org.eclipse.jetty.server.Server  – jetty-8.1.10.v20130312
60   [main] INFO  org.eclipse.jetty.deploy.providers.ScanningAppProvider  – Deployment monitor /var/www/blacklight/search_app/jetty/contexts at interval 0
75   [main] INFO  org.eclipse.jetty.deploy.DeploymentManager  – Deployable added: /var/www/blacklight/search_app/jetty/contexts/solr.xml
2899 [main] INFO  org.eclipse.jetty.webapp.StandardDescriptorProcessor  – NO JSP Support for /solr, did not find org.apache.jasper.servlet.JspServlet
3213 [main] INFO  org.apache.solr.servlet.SolrDispatchFilter  – SolrDispatchFilter.init()
3278 [main] INFO  org.apache.solr.core.SolrResourceLoader  – JNDI not configured for solr (NoInitialContextEx)
3279 [main] INFO  org.apache.solr.core.SolrResourceLoader  – using system property solr.solr.home: /var/www/blacklight/search_app/jetty/solr
3282 [main] INFO  org.apache.solr.core.SolrResourceLoader  – new SolrResourceLoader for directory: '/var/www/blacklight/search_app/jetty/solr/'
3289 [main] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/var/www/blacklight/search_app/jetty/solr/lib/contrib/' to classloader
3290 [main] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/var/www/blacklight/search_app/jetty/solr/lib/solr-analysis-extras-4.10.3.jar' to classloader
3290 [main] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/var/www/blacklight/search_app/jetty/solr/lib/solr-clustering-4.10.3.jar' to classloader
3291 [main] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/var/www/blacklight/search_app/jetty/solr/lib/solr-langid-4.10.3.jar' to classloader
3808 [main] INFO  org.apache.solr.core.ConfigSolr  – Loading container configuration from /var/www/blacklight/search_app/jetty/solr/solr.xml
4018 [main] INFO  org.apache.solr.core.CoresLocator  – Config-defined core root directory: /var/www/blacklight/search_app/jetty/solr
4042 [main] INFO  org.apache.solr.core.CoreContainer  – New CoreContainer 1318221996
4043 [main] INFO  org.apache.solr.core.CoreContainer  – Loading cores into CoreContainer [instanceDir=/var/www/blacklight/search_app/jetty/solr/]
4047 [main] INFO  org.apache.solr.core.CoreContainer  – loading shared library: /var/www/blacklight/search_app/jetty/solr/lib
4049 [main] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/var/www/blacklight/search_app/jetty/solr/lib/contrib/' to classloader
4050 [main] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/var/www/blacklight/search_app/jetty/solr/lib/solr-analysis-extras-4.10.3.jar' to classloader
4050 [main] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/var/www/blacklight/search_app/jetty/solr/lib/solr-clustering-4.10.3.jar' to classloader
4050 [main] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/var/www/blacklight/search_app/jetty/solr/lib/solr-langid-4.10.3.jar' to classloader
4181 [main] INFO  org.apache.solr.handler.component.HttpShardHandlerFactory  – Setting socketTimeout to: 0
4182 [main] INFO  org.apache.solr.handler.component.HttpShardHandlerFactory  – Setting urlScheme to: null
4194 [main] INFO  org.apache.solr.handler.component.HttpShardHandlerFactory  – Setting connTimeout to: 0
4195 [main] INFO  org.apache.solr.handler.component.HttpShardHandlerFactory  – Setting maxConnectionsPerHost to: 20
4195 [main] INFO  org.apache.solr.handler.component.HttpShardHandlerFactory  – Setting corePoolSize to: 0
4195 [main] INFO  org.apache.solr.handler.component.HttpShardHandlerFactory  – Setting maximumPoolSize to: 2147483647
